Date,Item,Amount,Top,Subclass,,,,
6/1/24,Assets/Gold(a),4412,Assets,Gold(a),,,,7576914.333
6/1/24,Assets/Cash(b),4601.333333,Assets,Cash(b),,,,
6/1/24,Assets/Receivables under Resale Agreements(c),0,Assets,Receivables under Resale Agreements(c),,,,
6/1/24,Assets/Bills Purchased(through July 2006)(d),NA,Assets,Bills Purchased(through July 2006)(d),,,,
6/1/24,Assets/Government Securities in Custody(through March 2001)(e),NA,Assets,Government Securities in Custody(through March 2001)(e),,,,
6/1/24,Assets/Japanese Government Securities(f),5929891.333,Assets,Japanese Government Securities(f),,,,
6/1/24,Assets/Japanese Government Securities/Financing Bills Treasury Bills and Treasury Discount Bills(g),38687.66667,Assets,Japanese Government Securities/Financing Bills Treasury Bills and Treasury Discount Bills(g),,,,
6/1/24,Assets/Japanese Government Securities/Japanese Government Bonds,5891202.667,Assets,Japanese Government Securities/Japanese Government Bonds,,,,
6/1/24,Assets/Commercial Papers(h),21793,Assets,Commercial Papers(h),,,,
6/1/24,Assets/Corporate Bonds(i),58761.66667,Assets,Corporate Bonds(i),,,,
6/1/24,Assets/Pecuniary Trusts (Stocks Held as Trust Property)(j),1418.333333,Assets,Pecuniary Trusts (Stocks Held as Trust Property)(j),,,,
6/1/24,Assets/Pecuniary Trusts (Index-Linked Exchange-Traded Funds Held as Trust Property)(k),371861,Assets,Pecuniary Trusts (Index-Linked Exchange-Traded Funds Held as Trust Property)(k),,,,
6/1/24,Assets/Pecuniary Trusts (Japan Real Estate Investment Trusts Held as Trust Property)(l),6559.666667,Assets,Pecuniary Trusts (Japan Real Estate Investment Trusts Held as Trust Property)(l),,,,
6/1/24,Assets/Loans and Discounts,1065015.333,Assets,Loans and Discounts,,,,
6/1/24,Assets/Loans and Discounts/Bills Discounted,0,Assets,Loans and Discounts/Bills Discounted,,,,
6/1/24,Assets/Loans and Discounts/Loans,1065015.333,Assets,Loans and Discounts/Loans,,,,
6/1/24,Assets/Loans and Discounts/Loans/Loans by Funds-Supplying Operations against Pooled Collateral(m),1065015.333,Assets,Loans and Discounts/Loans/Loans by Funds-Supplying Operations against Pooled Collateral(m),,,,
6/1/24,Assets/Loans and Discounts/Loans/Loans Pursuant to Article 33 of the Bank of Japan Act (Excluding Loans by Funds-Supplying Operations against Pooled Collateral)(n),0,Assets,Loans and Discounts/Loans/Loans Pursuant to Article 33 of the Bank of Japan Act (Excluding Loans by Funds-Supplying Operations against Pooled Collateral)(n),,,,
6/1/24,Assets/Loans and Discounts/Loans/Loans Pursuant to Article 38 of the Bank of Japan Act,0,Assets,Loans and Discounts/Loans/Loans Pursuant to Article 38 of the Bank of Japan Act,,,,
6/1/24,Assets/Loans and Discounts/Loans to the Deposit Insurance Corporation,0,Assets,Loans and Discounts/Loans to the Deposit Insurance Corporation,,,,
6/1/24,Assets/Foreign Currency Assets(o),103384.3333,Assets,Foreign Currency Assets(o),,,,
6/1/24,Assets/Deposits with Agents(p),140,Assets,Deposits with Agents(p),,,,
6/1/24,Assets/Others(r),9076.333333,Assets,Others(r),,,,
6/1/24,"Assets/Total(Assets, or Liabilities and Net Assets)(s)",7576919.667,Assets,"Total(Assets, or Liabilities and Net Assets)(s)",,,,