Date,m2
2003/04,6767067
2003/05,6770869
2003/06,6777550
2003/07,6813055
2003/08,6807344
2003/09,6768459
2003/10,6755731
2003/11,6757284
2003/12,6825840
2004/01,6833119
2004/02,6797767
2004/03,6825916
2004/04,6891883
2004/05,6903843
2004/06,6894824
2004/07,6937875
2004/08,6933689
2004/09,6907282
2004/10,6890506
2004/11,6894786
2004/12,6960622
2005/01,6965712
2005/02,6920502
2005/03,6965119
2005/04,7015356
2005/05,7003169
2005/06,7006819
2005/07,7050604
2005/08,7043747
2005/09,7046184
2005/10,7021746
2005/11,7036014
2005/12,7089899
2006/01,7087795
2006/02,7037961
2006/03,7061195
2006/04,7129110
2006/05,7093181
2006/06,7085888
2006/07,7085186
2006/08,7073070
2006/09,7081933
2006/10,7059775
2006/11,7078251
2006/12,7137934
2007/01,7151423
2007/02,7108923
2007/03,7138415
2007/04,7210967
2007/05,7195192
2007/06,7216367
2007/07,7228811
2007/08,7198156
2007/09,7201921
2007/10,7193436
2007/11,7220662
2007/12,7285588
2008/01,7304457
2008/02,7276617
2008/03,7299474
2008/04,7345919
2008/05,7342982
2008/06,7378298
2008/07,7381435
2008/08,7371732
2008/09,7358569
2008/10,7325322
2008/11,7349960
2008/12,7417325
2009/01,7447359
2009/02,7432345
2009/03,7462845
2009/04,7542195
2009/05,7539544
2009/06,7564651
2009/07,7581721
2009/08,7579114
2009/09,7577582
2009/10,7574488
2009/11,7592868
2009/12,7644352
2010/01,7668556
2010/02,7635656
2010/03,7662193
2010/04,7759675
2010/05,7773641
2010/06,7784280
2010/07,7788079
2010/08,7789657
2010/09,7788638
2010/10,7784699
2010/11,7788978
2010/12,7822875
2011/01,7843991
2011/02,7818290
2011/03,7860811
2011/04,7970763
2011/05,7983201
2011/06,8005162
2011/07,8017214
2011/08,7997234
2011/09,8000077
2011/10,8002828
2011/11,8024423
2011/12,8069214
2012/01,8082743
2012/02,8047690
2012/03,8092707
2012/04,8178578
2012/05,8157056
2012/06,8185426
2012/07,8199760
2012/08,8191274
2012/09,8192726
2012/10,8183764
2012/11,8193913
2012/12,8276923
2013/01,8299554
2013/02,8282805
2013/03,8338735
2013/04,8437335
2013/05,8440305
2013/06,8496379
2013/07,8505401
2013/08,8498909
2013/09,8507913
2013/10,8520882
2013/11,8550157
2013/12,8627674
2014/01,8658882
2014/02,8611077
2014/03,8634439
2014/04,8728308
2014/05,8716091
2014/06,8753539
2014/07,8757077
2014/08,8751629
2014/09,8767152
2014/10,8788034
2014/11,8854000
2014/12,8931353
2015/01,8946578
2015/02,8908583
2015/03,8943131
2015/04,9040704
2015/05,9070027
2015/06,9090087
2015/07,9102447
2015/08,9112081
2015/09,9096904
2015/10,9105777
2015/11,9145928
2015/12,9206476
2016/01,9226554
2016/02,9183408
2016/03,9214352
2016/04,9337483
2016/05,9368340
2016/06,9394599
2016/07,9404959
2016/08,9399942
2016/09,9407430
2016/10,9429381
2016/11,9494509
2016/12,9563427
2017/01,9590487
2017/02,9561292
2017/03,9597629
2017/04,9702896
2017/05,9723663
2017/06,9763583
2017/07,9781486
2017/08,9776216
2017/09,9788225
2017/10,9813059
2017/11,9874847
2017/12,9905721
2018/01,9917009
2018/02,9865773
2018/03,9890903
2018/04,10010867
2018/05,10031511
2018/06,10066296
2018/07,10068028
2018/08,10056582
2018/09,10065900
2018/10,10074396
2018/11,10105049
2018/12,10142429
2019/01,10147973
2019/02,10097697
2019/03,10125050
2019/04,10252191
2019/05,10286310
2019/06,10289611
2019/07,10290435
2019/08,10284205
2019/09,10295668
2019/10,10304091
2019/11,10365381
2019/12,10404214
2020/01,10416148
2020/02,10384810
2020/03,10442899
2020/04,10630037
2020/05,10812699
2020/06,11036494
2020/07,11102775
2020/08,11168053
2020/09,11219593
2020/10,11232567
2020/11,11306001
2020/12,11359680
2021/01,11400194
2021/02,11384748
2021/03,11436375
2021/04,11617797
2021/05,11675413
2021/06,11690901
2021/07,11690056
2021/08,11688405
2021/09,11691501
2021/10,11705647
2021/11,11756672
2021/12,11782086
2022/01,11813179
2022/02,11789009
2022/03,11833171
2022/04,12018499
2022/05,12042833
2022/06,12078178
2022/07,12088016
2022/08,12088202
2022/09,12075500
2022/10,12064408
2022/11,12124935
2022/12,12128301
2023/01,12132455
2023/02,12091386
2023/03,12134406
2023/04,12326939
2023/05,12360428
2023/06,12392324
2023/07,12388936
2023/08,12385266
2023/09,12363742
2023/10,12353258
2023/11,12399176
2023/12,12409866
2024/01,12431010
2024/02,12387234
2024/03,12443206
2024/04,12599997
2024/05,12588966
2024/06,12574422
2024/07,12565655
2024/08,
2024/09,
2024/10,
2024/11,
2024/12,