Name,PhoneNum,Address,Surplus,Solution,lon,lat,address,status_Color
Kick Ass Kakes,(602) 266-0533,4700 N Central Ave Ste 105 Phoenix AZ 85012,NA,NA,-112.0745341,33.506001,"4700 n central ave #105, phoenix, az 85012, usa",NA
Diana's Bakery,(602) 415-9715,5010 W Mcdowell Rd Phoenix AZ 85035,NA,no,-112.166704,33.4663748,"5010 w mcdowell rd, phoenix, az 85035, usa",blue
Classic Cakes and Confection,(602) 795-9662,10801 N 32nd St Ste 3 Phoenix AZ 85028,NA,NA,-112.0127053,33.5846534,"10801 n 32nd st #3, phoenix, az 85028, usa",NA
Baker Wee,(602) 843-0112,4263 W Thunderbird Rd Phoenix AZ 85053,NA,NA,-112.1508179,33.6103391,"4263 w thunderbird rd, phoenix, az 85053, usa",NA
Switch Restaurant & Wine Bar,(602) 264-2295,2603 N Central Ave Phoenix AZ 85004,NA,NA,-112.0734629,33.4770272,"2603 n central ave, phoenix, az 85004, usa",NA
Cakes 'n' Pastries,(480) 442-4119,17150 N 23rd St Unit 125 Phoenix AZ 85022,NA,NA,-112.0340149,33.6430121,"17150 n 23rd st unit 125, phoenix, az 85022, usa",NA
Holsum Bakery,(623) 434-3150,18631 N 19th Ave Phoenix AZ 85027,NA,NA,-112.0988798,33.6558058,"18631 n 19th ave, phoenix, az 85027, usa",NA
Oroweat Bakery Outlet,(602) 788-0372,19401 N Cave Creek Rd Phoenix AZ 85024,NA,NA,-112.0297998,33.6633528,"19401 n cave creek rd, phoenix, az 85024, usa",NA
Cafe Valley Bakery Inc,(602) 278-2909,7000 W Buckeye Rd Phoenix AZ 85043,NA,NA,-112.2106681,33.4383901,"7000 w buckeye rd, phoenix, az 85043, usa",NA
Wild Flower Bread Company,(602) 275-2300,3400 E Sky Harbor Blvd Phoenix AZ 85034,yes,yes,-112.035749,33.4413046,"3400 e sky harbor cir n, phoenix, az 85034, usa",red
Wildflower Bread Company,(480) 951-0094,3319 N 35th Ave Phoenix AZ 85017,yes,yes,-112.1336163,33.4866538,"3319 n 35th ave, phoenix, az 85017, usa",red
Lilac Bakery,(602) 559-4869,2747 E Indian School Rd Phoenix AZ 85016,NA,NA,-112.0219506,33.4947439,"2747 e indian school rd, phoenix, az 85016, usa",NA
Sweet Baby,(602) 535-5940,2323 N 39th Pl Phoenix AZ 85008,NA,NA,-111.9963571,33.4739624,"2323 north 39th pl, phoenix, az 85008, usa",NA
Bread and Honey House,602-825-1048,4700 E Van Buren St Phoenix AZ 85008,NA,NA,-111.9806725,33.4513988,"4700 e van buren st, phoenix, az 85008, usa",NA
The Bakery Phx,(480) 499-0211,1528 E Bethany Home Rd Phoenix AZ 85014,NA,NA,-112.048522,33.5240236,"1528 e bethany home rd, phoenix, az 85014, usa",NA
Cookie Brokers Bakery of Phoenix,(602) 651-1352,3931 E Indian School Rd Phoenix AZ 85018,yes,no,-111.9959631,33.4941722,"3931 e indian school rd, phoenix, az 85018, usa",blue
Omg! Cake Pops,(480) 478-3317,Arizona Phoenix AZ 85016,NA,NA,-112.029752,33.5106684,"phoenix, az 85016, usa",NA
Angelicious Cakes & Fine Treats,(602) 741-5669,Private Phoenix AZ 85041,NA,NA,-112.0963314,33.6197267,"s private dr, phoenix, az 85023, usa",NA
Cinnabon,(602) 331-4400,9617 Metro Parkway Phoenix AZ 85051,NA,NA,-112.121551,33.5757555,"9617 n metro pkwy e, phoenix, az 85051, usa",NA
Gluten-Free Creations,(602) 626-7458,10880 N 32nd St Ste 39 Phoenix AZ 85028,no,NA,-112.013981,33.5859179,"10880 n 32nd st #39, phoenix, az 85028, usa",NA
Kneaders Bakery & Cafe,(602) 688-8530,4730 E Ray Rd Phoenix AZ 85044,NA,NA,-111.9817321,33.3203173,"4730 e ray rd, phoenix, az 85044, usa",NA
The Bone Appetit Bakery,(480) 785-9499,4810 E Ray Rd Ste 5 Phoenix AZ 85044,NA,NA,-111.9795253,33.3212014,"4810 e ray rd #5, phoenix, az 85044, usa",NA
Lemme Eat Gluten Free Store,(480) 779-7059,16049 S 27th Pl Phoenix AZ 85048,NA,NA,-112.0229986,33.3005693,"16049 s 27th pl, phoenix, az 85048, usa",NA
Sugar Sugar Cake Studio Inc,(602) 553-2253,387 N 2nd Ave Phoenix AZ 85003,NA,NA,-112.0760012,33.4545532,"387 n 2nd ave, phoenix, az 85003, usa",NA
Rainbo Bread Rainbo Bread,(602) 252-6881,738 W Van Buren St Phoenix AZ 85007,NA,NA,-112.084345,33.451864,"738 w van buren st, phoenix, az 85007, usa",NA
Chaconne Patisserie,(480) 681-3624,909 N 1st St Phoenix AZ 85004,NA,NA,-112.0722864,33.4580792,"909 n 1st st, phoenix, az 85004, usa",NA
A Bakeshop,(602) 274-2253,803 N 7th St Phoenix AZ 85006,NA,NA,-112.0649295,33.4568725,"803 n 7th st, phoenix, az 85006, usa",NA
Strictly From Scratch,(602) 283-4360,912 N 17th Ave Phoenix AZ 85007,NA,NA,-112.0965602,33.4580005,"912 n 17th ave, phoenix, az 85007, usa",NA
Mamma Toleodos the Pie Hole,(602) 332-7346,2329 N 7th St Phoenix AZ 85006,NA,NA,-112.0648233,33.474289,"2329 n 7th st, phoenix, az 85006, usa",NA
Kick Ass Kakes,(602) 266-0533,342 W Vernon Ave Phoenix AZ 85003,NA,NA,-112.0801231,33.4742443,"342 w vernon ave, phoenix, az 85003, usa",NA
Bake Tech Pros,(602) 438-7061,2320 W Palm Ln Phoenix AZ 85009,NA,NA,-112.1094763,33.4698515,"2320 w palm ln, phoenix, az 85009, usa",NA
El Buen Gusto,(602) 278-0707,2902 W Van Buren St Phoenix AZ 85009,NA,NA,-112.1223982,33.4514713,"2902 w van buren st, phoenix, az 85009, usa",NA
Light Rail Cafe & Bakery,(602) 337-5500,3838 N Central Ave Phoenix AZ 85012,NA,NA,-112.0754889,33.49157,"phoenix city square, 3838 n central ave, phoenix, az 85012, usa",NA
Capistrano's Bakery Inc,(480) 968-0468,2635 S 24th St Phoenix AZ 85034,NA,NA,-112.0298452,33.422965,"2635 s 24th st, phoenix, az 85034, usa",NA
Vinovio's Gourmet Cheesecakes,(602) 315-4687,111 S 33rd St Phoenix AZ 85034,no,NA,-112.00987,33.4470332,"111 s 33rd st, phoenix, az 85034, usa",NA
United General Bakery Inc,(602) 255-0464,3655 W Washington St Phoenix AZ 85009,NA,NA,-112.1376176,33.4467456,"3655 w washington st, phoenix, az 85009, usa",NA
Pilgrim Bakery,(602) 252-3880,3636 W Buckeye Rd Phoenix AZ 85009,NA,NA,-112.1384107,33.4374828,"3636 w buckeye rd, phoenix, az 85009, usa",NA
Bagelfeld,(602) 772-6229,2940 E Thomas Rd Phoenix AZ 85016,NA,NA,-112.0177588,33.4809954,"2940 e thomas rd, phoenix, az 85016, usa",NA
JL Patisserie Phoenix,(480) 859-4459,4700 N Central Ave Phoenix AZ 85012,NA,NA,-112.0745341,33.506001,"4700 n central ave, phoenix, az 85012, usa",NA
Central Baking Company,(602) 237-5284,4727 N Central Ave Phoenix AZ 85012,NA,NA,-112.0733698,33.5066761,"4727 n central ave, phoenix, az 85012, usa",NA
Panaderia Los Jarochos,(480) 479-5446,2822 N 32nd St Phoenix AZ 85008,no,NA,-112.0134039,33.4796198,"2822 n 32nd st, phoenix, az 85008, usa",NA
Nika's Confectionery LLC,(480) 535-1825,241 E Alta Vista Rd Phoenix AZ 85042,NA,NA,-112.0694927,33.3884115,"241 e alta vista rd, phoenix, az 85042, usa",NA
Superior Treats,(602) 265-1615,2975 W Fairmount Ave Phoenix AZ 85017,NA,NA,-112.1233871,33.4931553,"2975 w fairmount ave, phoenix, az 85017, usa",NA
Scoopwell's Dough Bar,(602) 296-5146,100 E Camelback Rd Phoenix AZ 85012,no,NA,-112.0717268,33.5095725,"100 e camelback rd, phoenix, az 85012, usa",NA
Banham's Cheesecake,(602) 824-8657,2836 E Indian School Rd Phoenix AZ 85016,no,NA,-112.019776,33.495437,"2836 e indian school rd, phoenix, az 85016, usa",NA
Carmens Bakery,(602) 668-3167,4132 E Mcdowell Rd Phoenix AZ 85008,NA,NA,-111.9919091,33.4661066,"4132 e mcdowell rd, phoenix, az 85008, usa",NA
custom & quick cakes,(480) 430-9936,2718 W Camelback Rd phoenix AZ 85017,NA,NA,-112.11772,33.5094557,"2718 w camelback rd, phoenix, az 85017, usa",NA
Sassy Cakes By Nina,(602) 212-2537,5810 N 16th St Phoenix AZ 85016,NA,NA,-112.0478218,33.5222345,"5810 n 16th st, phoenix, az 85016, usa",NA
Essence Bakery Cafe,(602) 296-4958,3830 E Indian School Rd Phoenix AZ 85018,NA,NA,-111.9985927,33.4954469,"3830 e indian school rd, phoenix, az 85018, usa",NA
Interstate Brands Corporation,(602) 437-8950,4100 E Broadway Rd Ste 150 Phoenix AZ 85040,NA,NA,-111.9918392,33.4078633,"4100 e broadway rd #150, phoenix, az 85040, usa",NA
Siderno Bakery,(602) 442-1044,5140 W Van Buren St Phoenix AZ 85043,NA,NA,-112.1710846,33.4519044,"5140 w van buren st, phoenix, az 85043, usa",NA
Sugar Sweet Bakery Company,(602) 500-5249,2005 W Bethany Home Rd Phoenix AZ 85015,NA,NA,-112.1022926,33.523656,"2005 w bethany home rd, phoenix, az 85015, usa",NA
Mama's Mini Pies,(602) 283-5672,2019 W Bethany Home Rd Phoenix AZ 85015,NA,NA,-112.1025488,33.5236705,"2019 w bethany home rd, phoenix, az 85015, usa",NA
Sprinkle Me Cupcake,(602) 283-5672,2019 W Bethany Home Rd Phoenix AZ 85015,NA,NA,-112.1025488,33.5236705,"2019 w bethany home rd, phoenix, az 85015, usa",NA
Big Daddy's Banana Pudding,(602) 283-5672,2019 W Bethany Home Rd Phoenix AZ 85015,NA,NA,-112.1025488,33.5236705,"2019 w bethany home rd, phoenix, az 85015, usa",NA
Edwards Bakery,(602) 595-7006,4344 W Indian School Rd Phoenix AZ 85031,NA,NA,-112.1528614,33.4974417,"4344 w indian school rd, phoenix, az 85031, usa",NA
Safari Bakery & Cafe,(602) 358-7091,5042 E Mcdowell Rd Phoenix AZ 85008,NA,NA,-111.9726699,33.4661464,"5042 e mcdowell rd, phoenix, az 85008, usa",NA
Pie Snob,(602) 266-0511,6522 N 16th St Phoenix AZ 85016,yes,no,-112.0480562,33.5318493,"6522 n 16th st, phoenix, az 85016, usa",blue
Kneaders Bakery & Cafe,(602) 296-0576,4126 E Indian School Rd Phoenix AZ 85018,NA,NA,-111.9921373,33.4952469,"4126 e indian school rd, phoenix, az 85018, usa",NA
Safari Bakery & Cafe,(602) 358-7091,5042 E Mcdowell Rd Phoenix AZ 85008,NA,NA,-111.9726699,33.4661464,"5042 e mcdowell rd, phoenix, az 85008, usa",NA
Enchanted Cupcakes and More,(602) 694-4736,3933 W Pollack St Phoenix AZ 85041,NA,NA,-112.1439297,33.3796756,"3933 w pollack st, phoenix, az 85041, usa",NA
That Sweet Man,(480) 390-0817,8115 S 31st Ter Phoenix AZ 85042,NA,NA,-112.0148944,33.373119,"navarro groves community, 8115 s 31st terrace, phoenix, az 85042, usa",NA
My Three Girls Bakery,(602) 509-0307,4915 E Lafayette Blvd Phoenix AZ 85018,NA,NA,-111.9751183,33.4983935,"4915 e lafayette blvd, phoenix, az 85018, usa",NA
Bamboo Bakery,(602) 246-8061,2647 W Glendale Ave Phoenix AZ 85051,no,NA,-112.115869,33.5377332,"2647 w glendale ave, phoenix, az 85051, usa",NA
Pasteleria Azteca,(623) 247-8493,5881 W Indian School Rd Phoenix AZ 85031,no,NA,-112.1857217,33.4938361,"5881 w indian school rd, phoenix, az 85031, usa",NA
Pasteler+A Azteca,(623) 266-7251,5893 W Indian School Rd Phoenix AZ 85031,NA,NA,-112.1860557,33.4939347,"5893 w indian school rd, phoenix, az 85031, usa",NA
Candyland Cupcakes,(602) 325-6926,2320 W Northern Ave Phoenix AZ 85021,NA,NA,-112.1089742,33.5543017,"2320 w northern ave, phoenix, az 85021, usa",NA
Pasteleria Y Panaderia,(602) 374-5297,8941 N 12th St Phoenix AZ 85020,no,NA,-112.0565911,33.5675172,"8941 n 12th st, phoenix, az 85020, usa",NA
Panaderia Los Reyes,(602) 861-4962,9226 N 7th St Phoenix AZ 85020,NA,NA,-112.0656383,33.5706832,"9226 n 7th st, phoenix, az 85020, usa",NA
Cake Lady Studios & Events,(602) 612-4168,2601 W Dunlap Ave Phoenix AZ 85021,NA,NA,-112.1149375,33.5668497,"2601 w dunlap ave, phoenix, az 85021, usa",NA
Bakery Antigua 2,(623) 936-7229,8240 W Lower Buckeye Rd Phoenix AZ 85043,NA,NA,-112.2371443,33.4235469,"8240 w lower buckeye rd, phoenix, az 85043, usa",NA
Ms Maureen's Irish Soda Bread,(602) 975-1242,9636 N 36th St Phoenix AZ 85028,no,NA,-112.0045545,33.5750663,"9636 n 36th st, phoenix, az 85028, usa",NA
Sweet Creations,(602) 753-1282,4825 E Warner Rd Phoenix AZ 85044,NA,NA,-111.9787355,33.3294975,"4825 e warner rd, phoenix, az 85044, usa",NA
Smallcakes A Cupcakery,(480) 706-2253,4302 E Ray Rd Phoenix AZ 85044,yes,no,-111.9918625,33.3203374,"4302 e ray rd, phoenix, az 85044, usa",blue
Kneaders,(602) 688-8530,4734 E Ray Rd Phoenix AZ 85044,NA,NA,-111.9811417,33.3218984,"4734 e ray rd, phoenix, az 85044, usa",NA
Eden's Bakery,(602) 843-1133,12450 N 35th Ave Phoenix AZ 85029,NA,NA,-112.135119,33.5987905,"12450 n 35th ave, phoenix, az 85029, usa",NA
Sweet & Divine Baking,(602) 320-7235,13826 N 19th Pl Phoenix AZ 85022,NA,NA,-112.0411863,33.6126694,"13826 n 19th pl, phoenix, az 85022, usa",NA
12 Cake Baker Scottsdale Cakery,(602) 377-8311,15414 N 7th St Phoenix AZ 85022,NA,NA,-112.0664068,33.6263934,"15414 n 7th st, phoenix, az 85022, usa",NA
Mamma Toledo's The Pie Hole,(602) 332-7346,15414 N 7th St Ste 6 Phoenix AZ 85022,NA,NA,-112.0663905,33.6263408,"15414 n 7th st #6, phoenix, az 85022, usa",NA
Sugar & Lace Bakery,(480) 287-6102,15414 N 19th Ave Phoenix AZ 85023,yes,no,-112.1001269,33.6259032,"15414 n 19th ave, phoenix, az 85023, usa",blue
Meters Bakery Of Phoenix Bell,(602) 923-0647,1150 E Bell Rd Phoenix AZ 85022,NA,NA,-112.0584891,33.6409228,"1150 e bell rd, phoenix, az 85022, usa",NA
Balkan Bakery,(602) 996-4598,1618 E Bell Rd Ste 106 Phoenix AZ 85022,yes,no,-112.0472209,33.6409718,"1618 e bell rd # 106, phoenix, az 85022, usa",blue
Tala Bakery,(480) 215-3773,2507 E Bell Rd Phoenix AZ 85032,NA,NA,-112.0282325,33.639793,"2507 e bell rd, phoenix, az 85032, usa",NA
Pasteleria Y Panaderia El Guero,(602) 364-9015,2535 E Bell Rd Phoenix AZ 85032,NA,NA,-112.0270972,33.639886,"2535 e bell rd, phoenix, az 85032, usa",NA
Kate's Karamels,(623) 329-8710,3934 W Phelps Rd Phoenix AZ 85053,NA,NA,-112.1443954,33.6374439,"3934 w phelps rd, phoenix, az 85053, usa",NA
Cakes by Stiggy,NA,3143 E Libby St Phoenix AZ 85032,NA,NA,-112.0140793,33.6488605,"3143 e libby st, phoenix, az 85032, usa",NA
Knead Luv Bakery & Caf+,(602) 844-5091,21031 N Cave Creek Rd Phoenix AZ 85024,NA,NA,-112.0298452,33.6778943,"21031 n cave creek rd, phoenix, az 85024, usa",NA
Blue Bake Shop,(602) 909-1439,24250 N 23rd Ave Phoenix AZ 85085,NA,NA,-112.1098731,33.7059231,"24250 n 23rd ave, phoenix, az 85085, usa",NA
Sweeteez Sweets,(623) 734-6082,1985 W Happy Valley Rd Phoenix AZ 85085,yes,no,-112.1019899,33.7122821,"1985 w happy valley rd, phoenix, az 85085, usa",blue
Honeylamb Cookie Company,(602) 653-6550,27908 N 65th Ln Phoenix AZ 85083,no,NA,-112.2006088,33.7384201,"27908 n 65th ln, phoenix, az 85083, usa",NA
Cookie Wednesday,(801) 372-9322,1811 W Sierra Sunset Trl Phoenix AZ 85085,no,NA,-112.0980776,33.7784257,"1811 w sierra sunset trail, phoenix, az 85085, usa",NA
El Fenix Bakery,(602) 276-9104,6219 S Central Ave Phoenix AZ 85042,NA,NA,-112.0729473,33.3895846,"6219 s central ave, phoenix, az 85042, usa",NA
Bimbo Bakery,(623) 780-0412,2058 W Rose Garden Ln Phoenix AZ 85027,no,no,-112.1047377,33.6770106,"2058 w rose garden ln, phoenix, az 85027, usa",blue
Cakes by Ashli,(602) 882-4991,40th st and southern phoenix AZ 85040,no,NA,-111.9955575,33.3926065,"southern ave & 40th st, phoenix, az, usa",NA
Victorian Cake Company,(602) 246-4633,402 E Greenway Pkwy Ste 1 Phoenix AZ 85022,yes,yes,-112.0665473,33.6383632,"402 e greenway pkwy #1, phoenix, az 85022, usa",red
Asahi Bakery,(602) 234-3093,6056 N 16th St Phoenix AZ 85016,NA,NA,-112.048161,33.5251623,"6056 n 16th st, phoenix, az 85016, usa",NA
Cinnabon,(602) 275-1721,3400 E Sky Harbor Blvd Phoenix AZ 85034,NA,NA,-112.035749,33.4413046,"3400 e sky harbor cir n, phoenix, az 85034, usa",NA
Holsum Bakery Inc,(602) 252-2351,2322 W Lincoln St Phoenix AZ 85009,NA,NA,-112.1096746,33.4426468,"2322 w lincoln st, phoenix, az 85009, usa",NA
Upper Crust Bakery USA,(602) 255-0464,3655 W Washington St Phoenix AZ 85009,yes,yes,-112.1376176,33.4467456,"3655 w washington st, phoenix, az 85009, usa",red
Cinnzeo,(602) 943-2095,9617 N Metro Pkwy W Phoenix AZ 85051,NA,NA,-112.1217839,33.5756703,"9617 n metro pkwy w, phoenix, az 85051, usa",NA
Bimbo Bakeries USA,(602) 567-7020,3425 E Van Buren St Phoenix AZ 85008,yes,no,-112.0068469,33.4501573,"3425 e van buren st, phoenix, az 85008, usa",blue
Old Heidelberg Bakery,(602) 224-9877,2210 E Indian School Rd Phoenix AZ 85016,NA,NA,-112.0340137,33.4951201,"2210 e indian school rd, phoenix, az 85016, usa",NA
La Purisima Bakery II,623-842-1400,2318 E Indian School Rd Phoenix AZ 85016,NA,NA,-112.0316383,33.4951463,"2318 e indian school rd, phoenix, az 85016, usa",NA
Cinnabon,(602) 808-9800,4445 E Thomas Rd Phoenix AZ 85018,yes,yes,-111.9854582,33.4798183,"4445 e thomas rd, phoenix, az 85018, usa",red
Antigua Bakery,(602) 973-9021,3605 W Camelback Rd Phoenix AZ 85019,NA,NA,-112.13647,33.5087315,"3605 w camelback rd, phoenix, az 85019, usa",NA
Dawn Bakery Services Center,(602) 353-9176,2429 S 51st Ave Ste 104 Phoenix AZ 85043,NA,NA,-112.1688526,33.4247002,"2429 51st ave #104, phoenix, az 85043, usa",NA
Nothing Bundt Cakes,(480) 753-1121,4722 E Ray Rd Phoenix AZ 85044,NA,NA,-111.9811417,33.3215648,"4722 e ray rd, phoenix, az 85044, usa",NA
Balkan Bakery,(602) 996-4598,1107 E Bell Rd Ste 16 Phoenix AZ 85022,NA,NA,-112.0575226,33.6393085,"1107 e bell rd ste 16, phoenix, az 85022, usa",NA
Fleur de Lis Cakes,(602) 279-5459,1219 E Glendale Ave Phoenix AZ 85020,NA,NA,-112.0551356,33.5378509,"1219 e glendale ave, phoenix, az 85020, usa",NA
Tammie Coe Cakes,(602) 253-0829,610 E Roosevelt St Unit 145 Phoenix AZ 85004,NA,NA,-112.0662872,33.4588695,"610 e roosevelt st unit 145, phoenix, az 85004, usa",NA
La Reyna Bakery,(602) 269-5876,3519 W Mcdowell Rd Phoenix AZ 85009,NA,NA,-112.1355115,33.4658183,"3519 w mcdowell rd, phoenix, az 85009, usa",NA
La Mejor,(602) 268-5778,5819 S 16th St Phoenix AZ 85040,no,NA,-112.046975,33.39352,"5819 s 16th st, phoenix, az 85040, usa",NA
Sun Valley Bakery,(602) 352-6600,4141 N 35th Ave Ste 8 Phoenix AZ 85017,NA,NA,-112.1337883,33.4961,"4141 n 35th ave #8, phoenix, az 85019, usa",NA
Gigi's Cupcakes,(602) 956-0721,3925 E Camelback Rd Phoenix AZ 85018,NA,NA,-111.9962711,33.5095174,"3925 e camelback rd, phoenix, az 85018, usa",NA
Panini Cafee & Bakery,(602) 943-4276,1255 E Northern Ave Phoenix AZ 85020,NA,NA,-112.0547048,33.5527299,"1255 e northern ave, phoenix, az 85020, usa",NA
Cinnabon,(602) 944-1915,9016 N Black Canyon Hwy Phoenix AZ 85051,NA,NA,-112.1182908,33.5684669,"9016 n black cyn hwy, phoenix, az 85051, usa",NA
Bimbo Bakery,(602) 216-6292,10414 N 19th Ave Phoenix AZ 85021,NA,NA,-112.1001269,33.5804314,"10414 n 19th ave, phoenix, az 85021, usa",NA
Panaderia Mazatlan,(602) 944-2110,10430 N 19th Ave Phoenix AZ 85021,NA,NA,-112.10022,33.5811623,"10430 n 19th ave, phoenix, az 85021, usa",NA
Holsum Bakery,(602) 993-2901,17815 N 25th Ave Phoenix AZ 85023,NA,NA,-112.1119753,33.6482228,"17815 n 25th ave, phoenix, az 85023, usa",NA
Sara Lee Bakery,(602) 252-6881,738 W Van Buren St Phoenix AZ 85007,NA,NA,-112.084345,33.451864,"738 w van buren st, phoenix, az 85007, usa",NA
Bimbo Bakeries USA,(602) 252-6888,312 N 9th Ave Phoenix AZ 85007,yes,yes,-112.0855251,33.45194499999999,"312 n 9th ave, phoenix, az 85007, usa",red
Cinna-Bear,(602) 230-7755,3115 N 3rd Ave Ste 111 Phoenix AZ 85013,yes,yes,-112.0772188,33.484361,"3115 n 3rd ave # 111, phoenix, az 85013, usa",red
La Sonorense Tortilla & Bakery,(602) 484-7627,3029 W Van Buren St Phoenix AZ 85009,NA,NA,-112.1252247,33.4510015,"3029 w van buren st, phoenix, az 85009, usa",NA
Aztca Bakeries Inc,(602) 353-9949,4317 N 43rd Ave Phoenix AZ 85031,NA,NA,-112.1506624,33.4992465,"4317 n 43rd ave, phoenix, az 85031, usa",NA
Oroweat Baking Company,(602) 285-1608,10414 N 19th Ave Phoenix AZ 85021,NA,NA,-112.1001269,33.5804314,"10414 n 19th ave, phoenix, az 85021, usa",NA
La Dolce Vita Biscotti Inc,(623) 581-6006,21617 N 9th Ave Phoenix AZ 85027,NA,NA,-112.0845859,33.6824127,"21617 n 9th ave, phoenix, az 85027, usa",NA
Gluten Free Creations,(602) 955-2034,2940 E Thomas Rd Phoenix AZ 85016,NA,NA,-112.0177588,33.4809954,"2940 e thomas rd, phoenix, az 85016, usa",NA
joe's cake collection,(623) 907-0822,2827 S 68th Ave Phoenix AZ 85043,NA,NA,-112.2057783,33.42171769999999,"2827 s 68th ave, phoenix, az 85043, usa",NA
Pilgrim Bakery,(602) 252-3880,235 E Pima St Phoenix AZ 85004,NA,NA,-112.070552,33.4326271,"235 e pima st, phoenix, az 85004, usa",NA
Silk Shortbread,(480) 772-1119,Po Box 10471 Phoenix AZ 85064,NA,NA,-112.0740373,33.4483771,"phoenix, az, usa",NA
Breadcrafters Bakery & Cafe,(602) 494-4442,12635 N Tatum Blvd Phoenix AZ 85032,NA,NA,-111.9787255,33.6009436,"12635 n tatum blvd, phoenix, az 85032, usa",NA
Marys Mexican Food & Bakery,(602) 413-2880,4109 E Mcdowell Rd Phoenix AZ 85008,NA,NA,-111.9925617,33.4653295,"4109 e mcdowell rd, phoenix, az 85008, usa",NA
Tony's Bakery,(623) 873-2045,7537 W Thomas Rd Phoenix AZ 85033,NA,NA,-112.2221603,33.4797706,"7537 w thomas rd, phoenix, az 85033, usa",NA
Euro Bakery,(602) 993-1837,15440 N 35th Ave Ste 15 Phoenix AZ 85053,NA,NA,-112.1345712,33.6268648,"15440 n 35th ave #15, phoenix, az 85053, usa",NA
Scratch Cupcakes,(480) 650-5948,5102 E Tunder Dr Phoenix AZ 85044,yes,no,-111.9768183,33.3380136,"5102 e tunder dr, phoenix, az 85044, usa",blue
Gigi's Cupcakes,(480) 940-3440,4910 E Ray Rd Phoenix AZ 85044,NA,NA,-111.9775,33.3204782,"parking lot, 4910 e ray rd, phoenix, az 85044, usa",NA
My Goodness Cakes,(602) 861-4711,21043 N Cave Creek Rd Phoenix AZ 85024,NA,NA,-112.0300781,33.6790557,"21043 n cave creek rd, phoenix, az 85024, usa",NA
Jana's Bakery,(602) 493-4077,13025 N Cave Creek Rd Phoenix AZ 85022,NA,NA,-112.036175,33.6054754,"13025 n cave creek rd, phoenix, az 85022, usa",NA
Cookies In Bloom,(602) 955-3030,3931 E Indian School Rd Phoenix AZ 85018,NA,NA,-111.9959631,33.4941722,"3931 e indian school rd, phoenix, az 85018, usa",NA
Sweet Little Thang,(602) 423-1752,900 E Camelback Rd Phoenix AZ 85014,NA,NA,-112.0614641,33.5093879,"900 e camelback rd, scottsdale, az 85251, usa",NA
Belfiore Ristorante,(602) 493-1793,15842 N Cave Creek Rd Phoenix AZ 85032,NA,NA,-112.0313822,33.6308566,"15842 n cave creek rd, phoenix, az 85032, usa",NA
Strictly From Scratch & Cornershop Bakery,(602) 258-1158,800 N 17th Ave Phoenix AZ 85007,Spanish idk,NA,-112.0965407,33.4570059,"800 n 17th ave, phoenix, az 85007, usa",NA
Fair Trade Cafe,(602) 354-8150,1020 N 1st Ave Phoenix AZ 85003,no,NA,-112.0743347,33.4593921,"1020 n 1st ave, phoenix, az 85003, usa",NA
