Name,PhoneNum,Address,Surplus,Solution,lon,lat,address,status_Color
BoSa Donuts,(602) 888-8999,3701 N Central Ave Phoenix AZ 85012,NA,NA,-112.0733931,33.4910039,"3701 n central ave, phoenix, az 85012, usa",NA
Whereubean Coffee,(480) 584-3886,4804 E Chandler Blvd Suite #110 Phoenix AZ 85048,NA,NA,-111.9798771,33.3059847,"4804 e chandler blvd #110, phoenix, az 85048, usa",NA
Nami,(602) 258-6264,2014 N 7th St Phoenix AZ 85006,NA,NA,-112.0653589,33.4699639,"2014 n 7th st, phoenix, az 85006, usa",NA
Ollie Vaughns,(602) 254-1392,1526 E Mcdowell Rd Phoenix AZ 85006,NA,NA,-112.0487867,33.4660047,"1526 e mcdowell rd, phoenix, az 85006, usa",NA
Sweet Cream Donuts,(623) 936-1007,7435 W Lower Buckeye Rd Phoenix AZ 85043,NA,NA,-112.2202854,33.422303,"7435 w lower buckeye rd, phoenix, az 85043, usa",NA
The Buzzed Goat,(480) 706-7411,4302 E Ray Rd Ste 106 Phoenix AZ 85044,NA,NA,-111.9914803,33.3208835,"4302 e ray rd ste.106, phoenix, az 85044, usa",NA
Mi Pueblo,(602) 870-2953,9620 N Metro Pkwy W Ste 127 Phoenix AZ 85051,NA,NA,-112.1257116,33.5741106,"9620 n metro pkwy w #127, phoenix, az 85051, usa",NA
Los Altos Ranch Market,(623) 873-0189,5802 West Thomas Road Phoenix AZ 85033,NA,NA,-112.1851632,33.4818949,"5802 w thomas rd, phoenix, az 85031, usa",NA
Rainbow Donuts,(602) 269-8465,5045 W Thomas Rd Ste 151 Phoenix AZ 85031,NA,NA,-112.16866,33.479988,"5045 w thomas rd #151, phoenix, az 85031, usa",NA
La Madeleine,(480) 436-8152,45 W Jefferson St Ste M Phoenix AZ 85003,incoherent,NA,-112.0747855,33.4470044,"45 w jefferson st m, phoenix, az 85003, usa",NA
Los Altos Ranch Market,(602) 253-6874,1602 E Roosevelt St Phoenix AZ 85006,No,NA,-112.045958,33.4598194,"1602 e roosevelt st, phoenix, az 85006, usa",NA
Copper Star Coffee,(602) 266-2136,4220 N 7th Ave Phoenix AZ 85013,NA,NA,-112.0838957,33.4974705,"4220 n 7th ave, phoenix, az 85013, usa",NA
Cardenas Ranch Markets,(602) 268-7166,5833 S Central Ave Phoenix AZ 85040,NA,NA,-112.0717629,33.3931661,"5833 s central ave, phoenix, az 85040, usa",NA
Wildflower Bread,(602) 275-6000,3400 E Sky Harbor Blvd Phoenix AZ 85034,NA,NA,-112.035749,33.4413046,"3400 e sky harbor cir n, phoenix, az 85034, usa",NA
Nika's Confectionery,(602) 888-2814,1241 e alta vista rd Phoenix AZ 85042,NA,NA,-112.0543206,33.3884364,"1241 e alta vista rd, phoenix, az 85042, usa",NA
Los Altos Ranch Market,(602) 264-8002,3223 W Indian School Rd Phoenix AZ 85017,NA,NA,-112.1292667,33.4945502,"3223 w indian school rd, phoenix, az 85017, usa",NA
Wildflower,(602) 883-4768,5813 N 7th St Ste 130 Phoenix AZ 85014,NA,NA,-112.0645588,33.522359,"5813 n 7th st suite 130, phoenix, az 85014, usa",NA
The Market Restaurant+Bar,(602) 626-5050,3603 E Indian School Rd Suite A Phoenix AZ 85018,NA,NA,-112.0036064,33.4946342,"3603 e indian school rd a, phoenix, az 85018, usa",NA
Crumbl Cookies - Arcadia,(602) 661-3777,3736 E Indian School Rd Phoenix AZ 85018,NA,NA,-112.0005722,33.4957241,"3736 e indian school rd, phoenix, az 85018, usa",NA
Crumbl Cookies - South Mountain,(623) 289-2660,2160 E Baseline Rd Ste 124 Phoenix AZ 85042,yes,gb model,-112.0330587,33.3793504,"2160 e baseline rd ste 124, phoenix, az 85042, usa",pink
Hunny Sweet Treats,(602) 290-7174,2214 W Palo Verde Dr Phoenix AZ 85015,NA,NA,-112.1059021,33.5232099,"2214 w palo verde dr, phoenix, az 85015, usa",NA
Fry's Pharmacy,(602) 335-2273,1815 W Glendale Ave Phoenix AZ 85021,no,yes,-112.0980852,33.5371824,"1815 w glendale ave, phoenix, az 85021, usa",red
AJ's Fine Foods,(602) 522-0956,4430 E Camelback Rd Phoenix AZ 85018,NA,NA,-111.9854269,33.5105741,"4430 e camelback rd, phoenix, az 85018, usa",NA
Los Altos Ranch Market,(623) 873-0189,5802 W Thomas Rd Phoenix AZ 85031,NA,NA,-112.1851632,33.4818949,"5802 w thomas rd, phoenix, az 85031, usa",NA
Los Altos Ranch Market,(602) 841-0346,3415 W Glendale Ave Phoenix AZ 85051,NA,NA,-112.1328541,33.5371384,"3415 w glendale ave, phoenix, az 85017, usa",NA
Olive Branch Mediterranean Market,(602) 872-7146,3581 W Northern Ave Ste 1 Phoenix AZ 85051,NA,NA,-112.1366409,33.5519743,"3581 w northern ave ste #1, phoenix, az 85051, usa",NA
Crumbl Cookies - Metro,(480) 937-0381,2827 W Peoria Ave Phoenix AZ 85029,NA,NA,-112.12374,33.5810407,"2827 w peoria ave, phoenix, az 85029, usa",NA
Levi Catering,(480) 251-6745,3375 E Shea Blvd Ste C Phoenix AZ 85028,NA,NA,-112.0086066,33.5819233,"3375 e shea blvd c, phoenix, az 85028, usa",NA
Crumbl Cookies - Ahwatukee,(480) 877-9677,4910 E Ray Rd Phoenix AZ 85044,rings & rings,NA,-111.9775,33.3204782,"parking lot, 4910 e ray rd, phoenix, az 85044, usa",NA
The Sicilian Butcher,(602) 775-5140,15530 N Tatum Blvd Phoenix AZ 85032,NA,NA,-111.9784718,33.6272473,"15530 n tatum blvd, phoenix, az 85032, usa",NA
Crumbl Cookies - Tatum,(602) 607-0937,4747 E Bell Rd Phoenix AZ 85032,NA,NA,-111.978311,33.6399565,"4747 e bell rd, phoenix, az 85032, usa",NA
Wildflower Bread,(623) 879-6819,2805 W Agua Fria Fwy Phoenix AZ 85027,NA,NA,-112.1212061,33.6668769,"2805 w agua fria fwy, phoenix, az 85027, usa",NA
Creations In Cuisine Catering,(602) 485-9924,1825 W Crest Ln Phoenix AZ 85027,NA,NA,-112.0989046,33.6883655,"1825 w crest ln, phoenix, az 85027, usa",NA
Crumbl Cookies - Norterra,(602) 726-5008,2450 W Happy Valley Rd Ste 1151 Phoenix AZ 85085,NA,NA,-112.1121198,33.7145547,"2450 w happy valley rd suite #1151, phoenix, az 85085, usa",NA
Kahala Coffee Traders,(866) 452-4252,1 N Central Ave Phoenix AZ 85004,NA,NA,-112.0733246,33.4486237,"1 n central ave, phoenix, az 85004, usa",NA
Fillmore Coffee Co.,(602) 606-2426,600 N 4th St Phoenix AZ 85004,NA,NA,-112.0688054,33.4548753,"600 n 4th st, phoenix, az 85004, usa",NA
Los Altos Ranch Market,(602) 253-6874,1602 E Roosevelt St Phoenix AZ 85006,NA,NA,-112.045958,33.4598194,"1602 e roosevelt st, phoenix, az 85006, usa",NA
Rainbow Donuts,(602) 256-7404,1347 E Mcdowell Rd Phoenix AZ 85006,no,NA,-112.0523644,33.4654757,"1347 e mcdowell rd, phoenix, az 85006, usa",NA
Urban Cookies Bake Shop,(602) 451-4335,2325 N 7th St Phoenix AZ 85006,NA,NA,-112.0648134,33.4741738,"2325 n 7th st, phoenix, az 85006, usa",NA
Los Altos Ranch Market,(602) 268-7166,5833 S Central Ave Phoenix AZ 85040,NA,NA,-112.0717629,33.3931661,"5833 s central ave, phoenix, az 85040, usa",NA
La Madeleine,(602) 275-6582,3400 E Sky Harbor Blvd Phoenix AZ 85034,NA,NA,-112.035749,33.4413046,"3400 e sky harbor cir n, phoenix, az 85034, usa",NA
La Madeleine,(602) 952-0349,3400 E Sky Harbor Blvd Terminal 4 Gate B20 Phoenix AZ 85034,NA,NA,-111.9945424,33.4370687,"gate b20, phoenix, az 85034, usa",NA
Variations Bakery,(480) 967-5541,2947 W Fairmount Ave Phoenix AZ 85017,NA,NA,-112.123243,33.493133,"2947 w fairmount ave, phoenix, az 85017, usa",NA
The Velvet Buttercream,(602) 734-1408,702 W Camelback Rd Phoenix AZ 85013,NA,NA,-112.0831272,33.509785,"702 w camelback rd, phoenix, az 85013, usa",NA
Los Altos Ranch Market,(602) 264-8002,3223 W Indian School Rd Phoenix AZ 85017,Yes,Ish,-112.1292667,33.4945502,"3223 w indian school rd, phoenix, az 85017, usa",NA
Jewel's Bakery & Cafe,(602) 714-5243,4041 E Thomas Rd Phoenix AZ 85018,yes,no,-111.9937022,33.4799938,"4041 e thomas rd, phoenix, az 85018, usa",blue
D-Marie Sweets Boutique Bakery,(602) 323-6517,6108 S 33rd Dr Phoenix AZ 85041,NA,NA,-112.130237,33.3913147,"6108 s 33rd dr, phoenix, az 85041, usa",NA
Uncle Biff's California Killer Cookies,(602) 888-8990,6239 N 7th St Phoenix AZ 85014,NA,NA,-112.0646137,33.5286979,"parson place, 6239 n 7th st, phoenix, az 85014, usa",NA
Imperial Market & Deli,(602) 285-6999,737 E Glendale Ave Phoenix AZ 85020,NA,NA,-112.063568,33.5379728,"737 e glendale ave, phoenix, az 85020, usa",NA
Los Altos Ranch Market,(602) 841-0346,3415 W Glendale Ave Phoenix AZ 85051,NA,NA,-112.1328541,33.5371384,"3415 w glendale ave, phoenix, az 85017, usa",NA
Hillside Spot,(480) 705-7768,4740 E Warner Rd Phoenix AZ 85044,NA,NA,-111.982112,33.331656,"4740 e warner rd, phoenix, az 85044, usa",NA
Eb's Delites,(626) 298-3092,13625 S 48th St Phoenix AZ 85044,NA,NA,-111.9767019,33.3240019,"13625 s 48th st, phoenix, az 85044, usa",NA
Sonoran Coffee and Baked Goods Co,(623) 877-2915,9140 W Thomas Rd Phoenix AZ 85037,NA,NA,-112.2575424,33.4801128,"9140 w thomas rd, phoenix, az 85037, usa",NA
La Madeleine,(480) 483-0730,10625 N Tatum Blvd Phoenix AZ 85028,yes,need to email,-111.9769348,33.5834921,"10625 n tatum blvd, phoenix, az 85028, usa",NA
Sonoran Coffee and Baked Goods,(602) 765-4383,3137 E Cactus Rd Phoenix AZ 85032,Yes,Yes,-112.0141491,33.5964862,"3137 e cactus rd, phoenix, az 85032, usa",NA
Arrivederci Trattoria,(480) 759-9292,4221 E Chandler Blvd Ste 102 Phoenix AZ 85048,yes,NA,-111.9925833,33.3049444,"4221 e chandler blvd #102, phoenix, az 85048, usa",NA
My Gal Sal Bakery and Catering,(602) 978-2479,15820 N 35th Ave Phoenix AZ 85053,yes,ish,-112.1344054,33.6294516,"15820 n 35th ave, phoenix, az 85053, usa",purple
The Sodamix,(801) 362-6221,748 E Bell Rd Phoenix AZ 85022,NA,NA,-112.0636123,33.6407132,"748 e bell rd, phoenix, az 85022, usa",NA
Cafe Margarita,(602) 283-5600,16816 N Cave Creek Rd Phoenix AZ 85032,NA,NA,-112.0312657,33.6390042,"16816 n cave creek rd, phoenix, az 85032, usa",NA
William's Coffee Co,(480) 981-7227,3170 W Carefree Hwy Phoenix AZ 85086,Yes,Noâ€¦,-112.128933,33.8002787,"3170 w carefree hwy, phoenix, az 85086, usa",NA
Bamboo Bakery,(602) 246-8061,1619 E Monte Vista Rd Phoenix AZ 85006,NA,NA,-112.0466622,33.4707709,"1619 e monte vista rd, phoenix, az 85006, usa",NA
Albertsons,(623) 582-4985,3130 W Carefree Hwy Phoenix AZ 85086,NA,NA,-112.126907,33.8000167,"3130 w carefree hwy, phoenix, az 85086, usa",NA
Supreme Bean Pies Phoenix,(602) 687-9278,2148 E Broadway Rd Phoenix AZ 85040,NA,NA,-112.0347589,33.4071584,"2148 e broadway rd, phoenix, az 85040, usa",NA
Dessert-a-Licious,(602) 315-1318,15419 S 36th PL Phoenix AZ 85044,NA,NA,-112.0067203,33.3067386,"15419 s 36th pl, phoenix, az 85044, usa",NA
Vinovio's Gourmet Cheesecakes LLC.,(602) 718-4128,3301 E Jefferson St Phoenix AZ 85034,NA,NA,-112.0098874,33.4467317,"3301 e jefferson st, phoenix, az 85034, usa",NA
The Bagel Man,(480) 705-9999,5035 E Elliot Rd Phoenix AZ 85044,NA,NA,-111.976632,33.3479307,"5035 e elliot rd, phoenix, az 85044, usa",NA
Albertsons,(480) 443-3098,10665 N Tatum Blvd Phoenix AZ 85028,NA,NA,-111.9743265,33.5839771,"10665 n tatum blvd, phoenix, az 85028, usa",NA
Albertsons,(602) 788-0558,4747 E Greenway Rd Phoenix AZ 85032,yes,ish,-111.978891,33.6244667,"4747 e greenway rd, phoenix, az 85032, usa",purple
Aj's Fine Foods,(602) 863-3500,13226 N 7th St Phoenix AZ 85022,yes,ish,-112.0664768,33.6063245,"13226 n 7th st, phoenix, az 85022, usa",purple
TerraBites Bakery,(602) 799-8372,3619 E Indian School Rd Phoenix AZ 85018,NA,NA,-112.0034367,33.4945461,"3619 e indian school rd, phoenix, az 85018, usa",NA
Fairytale Brownies,(800) 531-5209,4610 E Cotton Center Blvd Phoenix AZ 85040,NA,NA,-111.9819833,33.4035409,"4610 e cotton center blvd, phoenix, az 85040, usa",NA
Middle Eastern Bakery & Deli,(602) 277-4927,3052 N 16th St Phoenix AZ 85016,NA,NA,-112.0479863,33.4835676,"3052 n 16th st, phoenix, az 85016, usa",NA
Bosa Donuts,(602) 795-0763,3519 W Glendale Ave Phoenix AZ 85051,NA,NA,-112.1354998,33.5381956,"3519 w glendale ave, phoenix, az 85017, usa",NA
Bruegger's,(602) 955-4955,2375 E Camelback Rd Phoenix AZ 85016,NA,NA,-112.030637,33.508714,"2375 e camelback rd, phoenix, az 85016, usa",NA
Karl's Quality Bakery,(602) 997-7849,111 E Dunlap Ave Phoenix AZ 85020,yes,yes,-112.0726013,33.5669083,"111 e dunlap ave, phoenix, az 85020, usa",red
Hava Java,(602) 954-9080,3166 E Camelback Rd Phoenix AZ 85016,NA,NA,-112.0134999,33.510927,"3166 e camelback rd, phoenix, az 85016, usa",NA
A Triple Delight Bakery,(602) 923-1362,14848 N Cave Creek Rd Phoenix AZ 85032,NA,NA,-112.0314753,33.6218605,"14848 n cave creek rd, phoenix, az 85032, usa",NA
Wildflower Bread,(602) 850-8585,4290 E Indian School Rd Phoenix AZ 85018,NA,NA,-111.988998,33.4957316,"4290 e indian school rd, phoenix, az 85018, usa",NA
Barb's Bakery,(602) 957-4422,2929 N 24th St Phoenix AZ 85016,NA,NA,-112.0297986,33.4814813,"2929 n 24th st, phoenix, az 85016, usa",NA
Eva's Bakery,(801) 355-3942,"155 S Main St Salt Lake City, UT 84111",yes,gb model,-111.8905576,40.7657442,"155 s main st, salt lake city, ut 84111, usa",pink
Gourmandise,(801) 328-3330,"250 S 300th E Salt Lake City, UT 84111",NA,NA,-111.8831052,40.7638286,"250 s 300 e, salt lake city, ut 84111, usa",NA
Fillings and Emulsions,(385) 229-4228,"1475 S Main St Salt Lake City, UT 84115",NA,NA,-111.890592,40.7374786,"1475 s main st, salt lake city, ut 84115, usa",NA
Vosen's Bread Paradise,(801) 322-2424,"328 W 200th S Salt Lake City, UT 84101",yes,yes,-111.9007813,40.765429,"328 w 200 s, salt lake city, ut 84101, usa",red
Mrs. Backer's Pastry Shop,(801) 532-2022,"434 E South Temple Salt Lake City, UT 84111",yes,no,-111.8783262,40.7690331,"434 e s temple st, salt lake city, ut 84111, usa",blue
Delice Bakery & Cafe,(801) 953-1910,"2747 S State St Salt Lake City, UT 84115",yes,no,-111.8876635,40.7117577,"2747 s state st, south salt lake, ut 84115, usa",blue
Lone Pine Bakery,(385) 237-3556,"834 E 9400th S Ste 58 Salt Lake City, UT 84094",NA,NA,-111.8683298,40.579137,"834 e 9400 s #58, sandy, ut 84094, usa",NA
85 Bakery Cafe,(385) 355-9991,"3390 S State St South Salt Lake, UT 84115",no,NA,-111.8890937,40.6980345,"3390 s state st, south salt lake, ut 84115, usa",NA
Beaumont Bakery & Cafe,(801) 676-9340,"3979 Wasatch Blvd Salt Lake City, UT 84124",yes,no,-111.7944692,40.6862004,"3979 wasatch blvd, salt lake city, ut 84124, usa",blue
Carlucci's Bakery,(801) 366-4484,"314 W Broadway Salt Lake City, UT 84101",yes,yes,-111.9003106,40.7630687,"314 w broadway, salt lake city, ut 84101, usa",red
Kyung's Bakery,(801) 904-3849,"153 E 4370th S Ste 18 Salt Lake City, UT 84107",yes,no,-111.8862292,40.6759903,"153 e 4370 s #18, murray, ut 84107, usa",blue
Carol's Cakes and Pastry Shops,(801) 484-3442,"1991 Lincoln St Salt Lake City, UT 84105",no,NA,-111.8636884,40.7269096,"1991 lincoln st, salt lake city, ut 84105, usa",NA
RubySnap Fresh Cookies,(801) 834-6111,"770 S 300 W Salt Lake City, UT 84101",yes,not 100%,-111.9001991,40.7523934,"770 s 300 w, salt lake city, ut 84101, usa",NA
Moon Bakery,(801) 263-0404,"3390 S State St Ste 20 South Salt Lake City, UT 84115",yes,no,-111.8890937,40.6980345,"3390 s state st #20, south salt lake, ut 84115, usa",blue
Tulie Bakery,(801) 883-9741,"863 E 700th S Salt Lake City, UT 84102",yes,no,-111.866069,40.7543878,"863 e 700 s, salt lake city, ut 84102, usa",blue
The Dough Miner,(385) 334-3389,"945 S 300th W Ste 101 Salt Lake City, UT 84101",yes,no,-111.8994695,40.7485074,"945 s 300 w #101, salt lake city, ut 84101, usa",blue
Beardall's Bakery,(801) 250-0096,"8963 W Magna Main St Magna, UT 84044",yes,yes,-112.1055062,40.7108062,"8963 w magna main st, magna, ut 84044, usa",red
Passion Flour,(385) 242-7040,"165 E 900 S Salt Lake City, UT 84111",yes,no,-111.8859818,40.7500907,"165 e 900 s, salt lake city, ut 84111, usa",blue
Granary Bakehouse,(385) 212-4298,"1059 E 900th S Ste 102 Salt Lake City, UT 84105",yes,no,-111.860468,40.7500222,"1059 e 900 s unit 102, salt lake city, ut 84105, usa",blue
Hruska's Kolaches,(385) 309-4379,"2030 S 900th E Salt Lake City, UT 84105",yes,no,-111.8657782,40.72593190000001,"2030 s 900 e, salt lake city, ut 84105, usa",blue
City Cakes and Cafe,(801) 359-2239,"1860 S 300th W Ste D Salt Lake City, UT 84115",yes,yes,-111.9006494,40.7295698,"1860 s 300 w d, salt lake city, ut 84115, usa",red
Doki Doki,(385) 229-4339,"249 E 400th S Salt Lake City, UT 84111",yes,gb model,-111.8836641,40.7609628,"249 e 400 s, salt lake city, ut 84111, usa",pink
Bonne Vie,(801) 258-6554,"555 Main St Salt Lake City, UT 84111",NA,NA,-111.8902974,40.7574622,"555 main st, salt lake city, ut 84101, usa",NA
JJ Donuts,(385) 399-7399,"15 US-89 North Salt Lake, UT 84054",yes,yes,-111.9099105,40.8413658,"15 us-89, north salt lake, ut 84054, usa",red
Vitality Bowls,(801) 883-9065,"51 South Main St Space 140 Salt Lake City, UT 84101",NA,NA,-111.8903528,40.7683659,"51 s main st #140, salt lake city, ut 84111, usa",NA
Canela Bakery and Cafe,(385) 371-5342,"775 S 900th W Salt Lake City, UT 84104",yes,NA,-111.9165245,40.75218470000001,"775 s 900 w, salt lake city, ut 84104, usa",NA
Schmidt's Pastry Cottage,(801) 967-9766,"5664 S Redwood Rd Salt Lake City, UT 84123",yes,NA,-111.9389969,40.6485704,"5664 s redwood rd, salt lake city, ut 84123, usa",NA
Pie Fight,(385) 222-5373,"937 E 900 S Salt Lake City, UT 84105",NA,NA,-111.8639153,40.74982989999999,"937 e 900 s, salt lake city, ut 84105, usa",NA
Leslie's French Pastries,(801) 278-3341,"4658 S Holladay Blvd Holladay, UT 84117",no,no,-111.825284,40.6693552,"4658 s holladay blvd, holladay, ut 84117, usa",blue
Aconcagua,(385) 209-2978,"715 N Main St Layton, UT 84041",yes,no,-111.9773772,41.0703119,"715 n main st, layton, ut 84041, usa",blue
Karim Bakery,(801) 645-4533,"2575 S State St South Salt Lake, UT 84115",NA,NA,-111.8879096,40.7146179,"2575 s state st, south salt lake, ut 84115, usa",NA
Parson's Bakery,(801) 298-3059,"535 W 2600th S Bountiful, UT 84010",yes,yes,-111.8930495,40.8601673,"535 w 2600 s, bountiful, ut 84010, usa",red
Sweet Cake Bake Shop,(801) 683-8396,"96 S Main St Bountiful, UT 84010",yes,gb model,-111.8815571,40.8887841,"96 s main st, bountiful, ut 84010, usa",pink
Deliciously Sweet Bakery,(801) 718-2836,"5786 W Gold Stone Dr South Jordan, UT 84009",NA,NA,-112.0288904,40.5433475,"5786 gold stone dr, south jordan, ut 84009, usa",NA
Sagato Bakery & Cafe,(385) 557-1728,"44 W 7200th S Midvale, UT 84047",NA,NA,-111.8924905,40.6211707,"44 w 7200 s, midvale, ut 84047, usa",NA
Bix Bakery & Cafe,(385) 259-0359,"479 E 2100th S Ste B Salt Lake City, UT 84115",yes,no,-111.8770353,40.7256073,"479 e 2100 s b, salt lake city, ut 84115, usa",blue
Momo's Gourmet Cheesecake,(801) 900-8283,"29 East 400 S Salt Lake City, UT 84111",yes,no,-111.889987,40.7609236,"29 e 400 s, salt lake city, ut 84111, usa",blue
Frankie & Essls,(385) 300-8320,"490 E 1300 S Ste 102 Salt Lake City, UT 84105",NA,NA,-111.876985,40.7414532,"490 e 1300 s suite 102, salt lake city, ut 84105, usa",NA
Fresh Donut & Deli,(801) 467-8322,"2699 S State St Salt Lake City, UT 84115",yes,ish,-111.8881788,40.71265349999999,"2699 s state st, south salt lake, ut 84115, usa",purple
Banbury Cross,(385) 715-4220,"705 S 700th E Salt Lake City, UT 84102",NA,NA,-111.8707057,40.75383739999999,"705 s 700 e, salt lake city, ut 84102, usa",NA
Donut Boy,(385) 528-0782,"2194 W 3500th S Salt Lake City, UT 84119",yes,no,-111.9462565,40.697266,"2194 w 3500 s, west valley city, ut 84119, usa",blue
Darla's Donuts,(801) 975-6381,"2278 S Redwood Rd Salt Lake City, UT 84119",yes,yes,-111.9395064,40.7214698,"2278 s redwood rd, west valley city, ut 84119, usa",red
Panderia las Canastas,(801) 699-6876,"950 W 1000th N Salt Lake City, UT 84116",NA,NA,-111.9188919,40.7913749,"950 w 1000 n, salt lake city, ut 84116, usa",NA
Mochinut,(385) 300-8360,"2142 S Highland Dr Salt Lake City, UT 84106",yes,NA,-111.8595289,40.7241982,"2142 s highland dr, salt lake city, ut 84106, usa",NA
Donut Star,(801) 787-7978,"10522 South Redwood Rd South Jordan, UT 84095",NA,NA,-111.9393125,40.560408,"10522 s redwood rd, south jordan, ut 84095, usa",NA
Bowman's,(801) 544-4215,"326 N Main St Kaysville, UT 84037",yes,yes,-111.9414866,41.0406371,"326 n main st, kaysville, ut 84037, usa",red
9th St Coffee and Donuts,(801) 577-3006,"248 W 900th S Salt Lake City, UT 84101",yes,no,-111.8984725,40.7500213,"248 w 900 s, salt lake city, ut 84101, usa",blue
Nigh-Time Donuts,(435) 882-8503,"299 N Main St Tooele, UT 84074",yes,yes,-112.2995952,40.535922,"299 n main st, tooele, ut 84074, usa",red
Dolly's Donuts Bar and Grill,(385) 355-9904,"3245 S State St Salt Lake City, UT 84115",yes,no,-111.887878,40.7009191,"3245 s state st, south salt lake, ut 84115, usa",blue
Dunford Bakers,(801) 304-0400,"8556 S 2940 W West Jordan, UT 84088",yes,yes,-111.9633307,40.5962292,"8556 s 2940 w, west jordan, ut 84088, usa",red
Stone Ground Bakery,801-886-2336,"1025 S 700 W Salt Lake City, UT 84104",yes,yes,-111.9102366,40.7469064,"1025 s 700 w, salt lake city, ut 84104, usa",red
Victor's Pizza,(801) 996-3485,"545 W 3900 S Salt Lake City, UT 84123",NA,NA,-111.906989,40.686769,"545 w 3900 s, salt lake city, ut 84123, usa",NA
The Pie Pizzeria,(801) 582-5700,"1320 E 200 S Salt Lake City, UT 84102",yes,no,-111.8529926,40.7647297,"1320 e 200 s, salt lake city, ut 84102, usa",blue
Pie Hole,(801) 359-4653,"344 S State St Salt Lake City, UT 84111",NA,NA,-111.888648,40.7616445,"344 s state st, salt lake city, ut 84111, usa",NA
Villaggio Pizzeria,(801) 410-4355,"3144 S State St Ste 1 South Salt Lake, UT 84115",yes,no,-111.8889007,40.7025527,"3144 s state st suite 1, south salt lake, ut 84115, usa",blue
Free Wheeler Pizza,(801) 322-3733,"150 S 400th E Salt Lake City, UT 84111",no,NA,-111.8800776,40.7659017,"150 s 400 e, salt lake city, ut 84111, usa",NA
Rusted Sun Pizzeria,(801) 483-2120,"2010 S State St Salt Lake City, UT 84115",yes,no,-111.888526,40.7264118,"2010 s state st, salt lake city, ut 84115, usa",blue
City Creek Pizza,(801) 433-2825,"1306 W N Temple Salt Lake City, UT 84116",NA,NA,-111.9287976,40.7718336,"1306 w north temple st, salt lake city, ut 84116, usa",NA
Supremo Pizza,(385) 461-4909,"7355 S 900th E Midvale, UT 84047",NA,NA,-111.8657666,40.6170636,"7355 s 900 e, midvale, ut 84047, usa",NA
Sicilia Pizza and Kitchen,(801) 961-7077,"35 W Broadway 300 S Salt Lake City, UT 84101",no,NA,-111.892488,40.762511,"35 w broadway, salt lake city, ut 84101, usa",NA
